Date,JCI_RV,SP500_RV,SSE_RV,USDIDR_RV,WTI_RV,Gold_RV,VIX_Level
2002-01-08,10.774671065875037,10.828607684279858,13.842136450483034,6.351592217617927,66.41880906907097,3.1106270185771985,21.83
2002-01-09,11.7094393088559,11.236534207552321,12.412468470692943,6.359260078992305,66.43768211619995,11.770214599784278,22.13
2002-01-10,16.590040083870882,8.215806559033624,18.127210805838192,5.310189141456101,63.85142999020357,12.16112077955449,22.36
2002-01-11,19.016645734972272,6.286975711536352,20.517530279534753,3.926118807494486,38.70907499214048,12.489357218382079,22.6
2002-01-14,18.92317134692494,6.246717744831921,26.514084592000547,3.0931345546315803,39.53228694843165,15.042269289885175,23.58
2002-01-15,12.788713635979105,10.332288657377928,25.964601863447495,1.8129007364551706,42.8906094245909,16.078609713804713,22.7
2002-01-16,14.46472467969533,14.409026295587067,33.7162280020315,1.7948064469249605,36.25942053859777,13.655678289275691,23.45
2002-01-17,12.739671715821377,17.69456560591492,33.776570679635235,1.7965838930598081,34.65133688434751,12.554255962477745,22.25
2002-01-18,6.757380077403095,17.802297581731974,35.50559318101397,1.8444112991854076,36.127798621561666,12.359696145632325,22.52
2002-01-21,7.953585837997531,17.66662104421677,35.94715489702271,1.3957221243532034,30.943401688602677,11.934124053325373,22.52
2002-01-22,3.9470642394511173,16.049299713084245,36.681817541093416,1.5070266981751956,43.54179193272307,12.24389340562401,23.61
2002-01-23,7.834119003856724,14.097884183154516,64.75777396592848,1.3639033332744885,56.03346185875511,6.835385232534827,21.88
2002-01-24,17.30689083168955,11.805915990012172,56.0118724196134,1.6360391001843941,33.49916893638703,6.310683384859001,21.15
2002-01-25,16.558313442826464,8.86491436154555,56.058486680851075,3.9477947646519453,29.062005504740338,8.018279810921461,21.01
2002-01-28,30.52678558636517,8.879880022012442,71.77041145358749,5.583857748842864,27.954391702883697,7.680715765404173,21.14
2002-01-29,30.64616771055013,23.301498959651564,73.63028987993694,8.135965910554045,40.17662248480963,12.36500339561207,24.35
2002-01-30,31.714076581272092,24.57404282029466,54.49570999612718,8.766059462924337,29.2108976729324,8.358604106593022,23.22
2002-01-31,27.5658146749871,27.4878159556323,75.73781185495336,8.772668164290533,30.993713758191927,7.741092125334908,21.09
2002-02-01,25.769791476235422,27.838008490269434,75.77802934773143,7.391245386895754,46.32981956129755,10.885459939223985,21.12
2002-02-04,16.230481240564174,32.10658924902289,43.4227472128145,7.00536026615203,48.68126166023111,9.58934638166898,24.87
2002-02-05,15.036609765537394,25.493236334880923,44.77595495394693,2.7285720079380127,43.888047244107234,18.939722023237177,25.45
2002-02-06,16.47137162930807,22.451444027548998,52.437903028368055,2.095696853182039,41.55571600264894,20.45353129821285,26.09
2002-02-07,21.08777801980113,14.411814756441549,26.731964066656985,4.400476351788146,40.71472073881797,18.874984718577704,25.11
2002-02-08,22.385493022915817,22.40818778254833,27.07238152794356,4.108302744086908,28.913054405165557,18.83063534653225,23.26
2002-02-11,24.003218305395038,16.49221914422471,23.93521635867273,4.40741000831885,43.21577170766597,25.03586427542064,21.78
2002-02-12,24.186427421632143,16.479627752780086,23.523495757111206,4.352521721154511,51.47135602378602,14.538975784905821,21.62
2002-02-13,23.88530143367726,14.668409255346571,15.553053050130744,3.9965461364518773,47.88727492989184,14.94669925025726,20.85
2002-02-14,8.389717370776278,14.172225486723665,4.124732429479112,5.406070903413682,46.56073451928839,13.962221509099141,21.77
