Date,JCI_ret,SP500_ret,SSE_ret,USDIDR_ret,WTI_ret,Gold_ret,VIX_ret,JCI_RV,SP500_RV,SSE_RV,USDIDR_RV,WTI_RV,Gold_RV,VIX_Level
2002-01-08,-0.002653211554153468,-0.0035947751129210828,-0.008363555301465939,0.003171097646049279,-0.010765374270238161,0.001076233287737829,-0.005026284285231822,10.774671065875037,10.828607684279858,13.842136450483034,6.351592217617927,66.41880906907097,3.1106270185771985,21.83
2002-01-09,0.009764038187260578,-0.004810338096605585,-0.014062829683779187,-0.000287866431964382,-0.05166488044496295,0.01600603262313678,0.013648983501105692,11.7094393088559,11.236534207552321,12.412468470692943,6.359260078992305,66.43768211619995,11.770214599784278,22.13
2002-01-10,0.026643308820322717,0.0012198869007992773,0.00961704608761229,0.0009592326874601342,0.009862012869115843,0.012971259870438291,0.010339494223940243,16.590040083870882,8.215806559033624,18.127210805838192,5.310189141456101,63.85142999020357,12.16112077955449,22.36
2002-01-11,0.023853367987440314,-0.009512918425928793,-0.026250611608125016,-0.0002876732052250319,-0.03495113617047131,0.0010443865179060286,0.010676257991341854,19.016645734972272,6.286975711536352,20.517530279534753,3.926118807494486,38.70907499214048,12.489357218382079,22.6
2002-01-14,0.009816272885219935,-0.006295965210711253,-0.033429128772454964,-0.0021121359618583566,-0.04097021011068908,-0.006983268602188528,0.042448988830984545,18.92317134692494,6.246717744831921,26.514084592000547,3.0931345546315803,39.53228694843165,15.042269289885175,23.58
2002-01-15,0.012942620616491082,0.006810759357441391,-0.017288760643805398,-0.0011539572393131374,0.000529240552178492,-0.0035100071136501955,-0.03803397062186788,12.788713635979105,10.332288657377928,25.964601863447495,1.8129007364551706,42.8906094245909,16.078609713804713,22.7
2002-01-16,0.00551822516495233,-0.01637852533251346,0.013585885963089702,-0.0006737571841574354,-0.0021186448602852144,0.010145268056158134,0.03250557040493131,14.46472467969533,14.409026295587067,33.7162280020315,1.7948064469249605,36.25942053859777,13.655678289275691,23.45
2002-01-17,0.003433785235702274,0.009980537301230061,-0.04146654036614762,0.0009623713571166657,-0.04445176257083381,-0.010145268056158228,-0.05252848628003911,12.739671715821377,17.69456560591492,33.776570679635235,1.7965838930598081,34.65133688434751,12.554255962477745,22.25
2002-01-18,0.0032156823211414312,-0.009971580025263516,-0.002879058002602322,0.0,-0.002219756738312888,-0.0045815058112317454,0.012061794659240434,6.757380077403095,17.802297581731974,35.50559318101397,1.8444112991854076,36.127798621561666,12.359696145632325,22.52
2002-01-21,-0.0006099263351174266,0.0,-0.034843875290257814,-0.0010586594511682215,0.0,0.0,0.0,7.953585837997531,17.66662104421677,35.94715489702271,1.3957221243532034,30.943401688602677,11.934124053325373,22.52
